record_id,sender_role,source,timestamp,content,emotion,subtlety,is_discrimination,discrimination_type,severity
1,employee,email,2024-01-15 08:15:30,"I'm extremely frustrated with the recent changes in our team structure. It feels like my contributions are being overlooked.",frustration,overt,no,n/a,medium
2,employee,text,2024-01-16 09:00:45,"I can't believe how unfairly I'm being treated. I'm so angry right now!",anger,overt,no,n/a,high
3,employee,feedback_form,2024-01-17 10:22:10,"I feel disrespected and undervalued. The management's decisions are causing me anxiety and deep disappointment.",anxiety;disappointment,overt,no,n/a,medium
4,employee,email,2024-01-18 11:45:00,"I am deeply saddened by the constant criticism and lack of support. It feels unbearable sometimes.",sadness,overt,no,n/a,medium
5,employee,feedback_form,2024-01-19 14:30:20,"The recent decisions have left me feeling anxious and fearful about my future in this company.",anxiety;fear,overt,no,n/a,medium
6,employee,text,2024-01-20 12:00:00,"This is outrageous! I'm infuriated by the way the project was handled without our input.",anger;frustration,overt,no,n/a,high
7,employee,email,2024-01-21 15:10:05,"The latest company update has left me feeling completely ignored and unappreciated. My concerns are not taken seriously.",resentment,overt,no,n/a,medium
8,employee,feedback_form,2024-01-22 16:25:30,"I feel isolated and left out of important decisions. My suggestions are often dismissed as if they're not worth considering.",anxiety;isolation;frustration,subtle,no,n/a,low
9,employee,text,2024-01-23 17:00:15,"I'm furious about how the new schedule was announced without any consultation.",anger,overt,no,n/a,high
10,employee,email,2024-01-24 09:35:50,"I feel overwhelmed by the workload and unrecognized efforts. The lack of support is disheartening.",sadness;frustration,overt,no,n/a,medium
11,employee,feedback_form,2024-01-25 13:15:40,"Sometimes I feel that my suggestions are dismissed because I don't exactly fit the 'culture' of this team. It leaves me questioning if my background is seen as a disadvantage.",insecurity;sadness,subtle,no,n/a,medium
12,manager,email,2024-01-26 08:05:30,"I find it hard to work with people from certain backgrounds. Frankly, I think their way of doing things is inferior and hampers our progress.",disdain;anger,overt,yes,racist,high
13,manager,feedback_form,2024-01-27 09:20:10,"Your performance has been acceptable, but honestly, I expected more from someone of your gender. Perhaps it's a matter of natural aptitude.",condescension,subtle,yes,sexist,high
14,manager,email,2024-01-28 10:45:00,"While I appreciate your creativity, your ideas often reflect a perspective overly influenced by your cultural background. We prefer a more conventional approach here.",condescension;annoyance,subtle,yes,racist,medium
15,manager,text,2024-01-29 07:50:20,"Frankly, I don't believe women are cut out for high-pressure negotiations. It might be best if you stick to roles that suit your natural strengths.",condescension,overt,yes,sexist,high
16,manager,email,2024-01-30 12:40:10,"I think your background is a significant distraction. I recommend you focus more on assimilating than on bringing your unique perspective into play.",irritation;condescension,subtle,yes,racist,medium
17,employee,feedback_form,2024-01-31 15:55:00,"I feel betrayed by decisions made without considering the impact on employees. It seems only a select few are favored.",betrayal;sadness,overt,no,n/a,medium
18,employee,text,2024-02-01 10:20:05,"I'm extremely dissatisfied with the current state of affairs at work. Nothing is being handled correctly.",dissatisfaction;frustration,overt,no,n/a,medium
19,employee,email,2024-02-02 14:05:45,"I'm anxious and irritated by the constant changes that disrupt my workflow.",anxiety;irritation,overt,no,n/a,medium
20,employee,feedback_form,2024-02-03 09:10:15,"I feel undervalued and belittled every time I try to speak up in meetings.",resentment;frustration,overt,no,n/a,medium
21,manager,email,2024-02-04 11:12:00,"Your performance has been lacking, and I suspect it's partly because you're not as aggressive as your male counterparts.",condescension;frustration,subtle,yes,sexist,high
22,manager,feedback_form,2024-02-05 10:30:00,"I expect you to work harder, but maybe you should consider if this role is really meant for someone with your background.",irritation;condescension,overt,yes,racist,high
23,employee,text,2024-02-06 08:50:00,"I'm really upset that my suggestions are constantly dismissed in meetings.",anger;disappointment,overt,no,n/a,medium
24,manager,email,2024-02-07 09:40:00,"Your ideas are interesting, but they often come off as too 'exotic' for our traditional work environment.",condescension;annoyance,subtle,yes,racist,medium
25,manager,feedback_form,2024-02-08 12:00:00,"I don't think you would be capable of handling this task effectively. It's better suited for someone with the natural aptitude rather than someone who might be too emotional.",condescension;frustration,subtle,yes,sexist,high
26,employee,text,2024-02-09 11:30:00,"Sometimes it feels like my contributions are just a token gesture, as if I'm only here to fill a diversity quota.",resentment;sadness,subtle,no,n/a,medium
27,manager,email,2024-02-10 14:15:00,"Your approach to problem-solving is a bit too unconventional. Perhaps you should consider sticking to the tried and true methods that most in your position find comfortable.",condescension,subtle,no,n/a,low
28,manager,email,2024-02-11 09:05:00,"I believe your performance issues stem from your inability to fully embrace our company's culture. It might be time to consider if you really belong here.",condescension;frustration,subtle,no,n/a,n/a
29,employee,feedback_form,2024-02-12 10:55:00,"I feel that some comments in meetings are not just criticisms but veiled insults targeting my identity. It makes me feel marginalized.",sadness;frustration;isolation,subtle,no,n/a,medium
30,manager,text,2024-02-13 11:00:00,"I don't understand why you need extra time off. People in your role typically manage their time better and don't let minor setbacks affect them so much.",irritation;condescension,subtle,yes,sexist,high
31,employee,email,2024-02-14 08:00:00,"I don’t think I’m being considered for promotions because I’m a woman.",disappointment,overt,yes,sexist,high
32,manager,text,2024-02-15 11:05:00,"Your lack of 'dominant' traits is concerning. Perhaps leadership isn’t the right fit for you.",condescension,overt,yes,sexist,high
33,employee,email,2024-02-16 09:10:00,"I’m starting to feel like my ideas aren’t as valued because I’m younger than everyone else.",anxiety,overt,yes,ageist,medium
34,manager,email,2024-02-17 10:20:00,"Your ideas are interesting, but they feel too 'foreign' for our work environment.",condescension,subtle,yes,racist,medium
35,employee,text,2024-02-18 13:30:10,"Every time I try to speak up in meetings, it feels like my suggestions are dismissed.",frustration,overt,none,n/a,medium
36,employee,email,2024-02-19 14:40:00,"Why does it feel like I’m being passed over for this opportunity? My experience should count for something.",anger,overt,none,n/a,medium
37,manager,email,2024-02-20 15:55:00,"I prefer to work with people who understand my way of thinking. You might find it easier with a different team.",irritation,subtle,no,n/a,n/a
38,employee,feedback_form,2024-02-21 16:50:00,"I feel like I'm always judged for my lack of 'corporate' style. It’s not who I am.",insecurity,subtle,no,n/a,n/a
39,manager,email,2024-02-22 17:00:00,"You should consider whether you’re cut out for this position, especially with the challenges you're facing.",disdain,subtle,none,n/a,medium
40,employee,text,2024-02-23 09:25:30,"I can’t help but feel that my background is a problem for my career progression here.",anxiety,overt,no,n/a,n/a
41,employee,email,2024-02-24 11:40:10,"It’s hard for me to trust decisions when it feels like the leaders are from a different world.",disappointment,subtle,no,n/a,low
42,manager,text,2024-02-25 12:30:00,"Sometimes, I feel like you are a bit too emotional for this role. Toughen up!",condescension,overt,no,n/a,low
43,employee,feedback_form,2024-02-26 08:55:30,"I’ve been here for years, and yet I’m still seen as 'new' just because of my accent.",frustration,subtle,no,n/a,n/a
44, manager,email,2024-02-27 10:50:00,"We need someone who fits our company’s culture better. You might be better suited elsewhere.",condescension,subtle,yes,discriminatory,medium
45, employee,text,2024-02-28 14:15:30,"The constant changes are giving me anxiety. It feels like I can never catch up.",anxiety,subtle,none,n/a,low
46, manager,email,2024-03-01 08:05:40,"I think your way of dealing with things is a bit unconventional. Maybe you should consider how others handle it.",condescension,subtle,none,n/a,medium
47, employee,email,2024-03-02 10:20:00,"I’ve been here longer than most people, but I still get overlooked for key decisions.",resentment,overt,none,n/a,medium
48, manager,text,2024-03-03 11:35:30,"You're not 'assertive' enough for this role. Leadership requires a more aggressive approach.",condescension,overt,no,n/a,low
49, employee,feedback_form,2024-03-04 09:50:10,"Sometimes it feels like I’m the only one who cares about these issues. It’s exhausting.",frustration,subtle,none,n/a,medium
50, manager,email,2024-03-05 12:05:40,"I’m not sure if someone of your background can handle this high-pressure role.",condescension,overt,yes,racist,high
51, employee,email,2024-03-06 13:00:15,"I think my ideas are often dismissed because I'm not 'one of the guys' here.",resentment,subtle,no,n/a,n/a
52, manager,text,2024-03-07 10:25:50,"I expect a bit more from someone in your position. It’s all about results, not background.",irritation,subtle,none,n/a,medium
53, employee,feedback_form,2024-03-08 14:40:00,"I feel like my gender is the reason I don’t get the recognition I deserve in this company.",disappointment,overt,no,n/a,n/a
54, employee,email,2024-03-09 09:30:00,"I feel so invisible in meetings, like my ideas just don’t matter.",sadness,subtle,none,n/a,n/a
55, manager,email,2024-03-10 15:45:10,"It’s hard to take you seriously when you seem too sensitive to the feedback.",condescension,overt,no,n/a,low
56, employee,text,2024-03-11 11:25:00,"Sometimes, I feel like I’m just here to fill a diversity quota.",resentment,subtle,none,n/a,medium
57, manager,feedback_form,2024-03-12 12:15:00,"You’re too emotional for this line of work. Women generally aren’t suited for this.",condescension,overt,yes,sexist,high
58, employee,email,2024-03-13 10:35:20,"It’s frustrating that no one seems to take me seriously because of my background.",frustration,subtle,no,n/a,low
59, employee,text,2024-03-14 09:45:10,"Why is it that I’m always the last to be informed about important meetings?",disappointment,overt,none,n/a,low
60, manager,email,2024-03-15 11:00:25,"Maybe it’s better if you focus on tasks that match your natural abilities rather than trying to lead.",condescension,overt,yes,sexist,medium
61, employee,email,2024-03-16 13:50:30,"I feel like I’m constantly being dismissed in favor of others who are more vocal.",resentment,overt,none,n/a,medium
62, employee,text,2024-03-17 14:00:00,"I feel frustrated that my suggestions never make it past the first stage.",frustration,overt,none,n/a,medium
63, manager,email,2024-03-18 12:20:00,"We’ve noticed a lack of 'drive' from you lately. I think it’s a matter of your work ethic.",condescension,subtle,none,n/a,medium
64, employee,feedback_form,2024-03-19 10:10:30,"I feel like I’m working twice as hard but not getting the same recognition as others.",resentment,overt,none,n/a,medium
65, manager,email,2024-03-20 09:30:00,"You need to be more proactive, instead of waiting around for people to tell you what to do.",condescension,subtle,none,n/a,low
66, employee,feedback_form,2024-03-21 11:10:00,"It’s hard to stay motivated when I feel like my contributions aren’t valued.",sadness,subtle,none,n/a,medium
67, manager,email,2024-03-22 12:00:00,"Maybe you should adjust your approach. It feels a bit out of place for our culture.",condescension,subtle,no,n/a,low
68, employee,text,2024-03-23 13:25:00,"I’m so frustrated that I’m always the one left out of key decisions.",anger,overt,none,n/a,n/a
69, manager,email,2024-03-24 14:40:30,"I’ve noticed that your emotional responses seem to influence your decision-making. That’s not something we expect in leadership.",condescension,overt,no,n/a,low
70, employee,feedback_form,2024-03-25 10:55:20,"Every time I speak up in meetings, I feel like I’m ignored or brushed off.",resentment,subtle,none,n/a,n/a
71,employee,internal_memo,2024-03-01 09:00:00,"I don’t see the point in hiring women for technical roles. They struggle with complex problem-solving.",anger;contempt,overt,sexist,high
72,employee,email,2024-03-01 09:05:00,"We should focus on hiring from our own cultural background. Other groups just don’t fit our company values.",anger;disgust,overt,racist,moderate
73,employee,chat,2024-03-01 09:10:00,"Women always overreact in stressful situations. We need more men in leadership to maintain stability.",anger;disdain,overt,sexist,moderate
74,employee,internal_email,2024-03-01 09:15:00,"I don’t think someone from that background can truly understand our business. We should hire someone who belongs.",anger;contempt,overt,racist,moderate
75,employee,meeting_notes,2024-03-01 09:20:00,"Women tend to be better at administrative work. It’s just how things are.",neutral;assumption,subtle,sexist,low
76,employee,chat,2024-03-01 09:25:00,"Hiring people from different cultures is just lowering our standards. We need to stick to what works.",anger;contempt,overt,racist,moderate
77,employee,email,2024-03-01 09:30:00,"Women in management roles always create unnecessary drama. It’s bad for productivity.",anger;disgust,overt,sexist,moderate
78,employee,internal_memo,2024-03-01 09:35:00,"We should avoid hiring from certain backgrounds because they just don’t have the same work ethic.",anger;disgust,overt,racist,high
79,employee,internal_memo,2024-03-01 09:40:00,"It’s no secret our performance has dropped since we started hiring women. They just can’t handle the pressure of real work.",anger;disdain,overt,sexist,high
80,employee,meeting_notes,2024-03-01 09:45:00,"People from certain communities just don’t understand how to work in a structured business environment.",anger;contempt,overt,racist,moderate
81,employee,email,2024-03-01 09:50:00,"Women are too soft to lead effectively. They lack the toughness needed for real management.",anger;disgust,overt,sexist,moderate
82,employee,internal_chat,2024-03-01 09:55:00,"I don’t think hiring people from diverse backgrounds benefits us. They just slow us down.",anger;contempt,overt,racist,moderate
83,employee,internal_email,2024-03-01 10:00:00,"Women struggle with making objective decisions. That’s why they shouldn’t be in charge.",anger;disdain,overt,sexist,moderate
84,employee,chat,2024-03-01 10:05:00,"We need to stop hiring people who don’t share our cultural values. They just don’t fit in.",anger;disgust,overt,racist,low
85,employee,internal_email,2024-03-01 10:10:00,"Women aren’t built for leadership. Their emotions always get in the way of sound decision-making.",anger;disgust,overt,sexist,high
86,employee,email,2024-03-01 10:15:00,"Our company should prioritize hiring from our own culture. Bringing in outsiders is diluting our work ethic and professionalism.",anger;contempt,overt,racist,low
87,employee,chat,2024-03-01 10:20:00,"Every time I work with a female colleague, I have to double-check everything. They make too many mistakes.",anger;disgust,overt,sexist,high
88,employee,internal_email,2024-03-01 10:25:00,"Hiring from certain communities is just asking for trouble. They don’t respect authority.",anger;disgust,overt,racist,high
89,employee,internal_memo,2024-03-01 10:30:00,"I’m concerned that by recruiting candidates from diverse backgrounds, we’re lowering our intellectual standards.",anger;disgust,overt,racist,high
90,employee,chat,2024-03-01 10:35:00,"Women just don’t have the leadership skills men do. It’s biology.",anger;disgust,overt,sexist,moderate
91,employee,internal_email,2024-03-01 10:40:00,"I don’t trust hiring from certain ethnic groups. Their qualifications don’t mean much.",anger;disgust,overt,racist,high
92,employee,meeting_notes,2024-03-01 10:45:00,"Women in high-stress positions just end up making things worse. We need more men in charge.",anger;contempt,overt,sexist,moderate
93,employee,chat,2024-03-01 10:50:00,"Some cultural backgrounds just don’t align with our company values. We need to be selective.",anger;disgust,overt,racist,moderate
94,employee,internal_email,2024-03-01 10:55:00,"Why do we even consider hiring women? Their constant need for emotional support and inability to make tough decisions is holding us back.",anger;disgust,overt,sexist,high
95,employee,email,2024-03-01 11:00:00,"We should be careful about who we promote. Some groups just aren’t suited for leadership.",anger;contempt,overt,racist,moderate
96,employee,chat,2024-03-01 11:05:00,"Women in leadership roles always lead to unnecessary workplace drama.",anger;disgust,overt,sexist,moderate
97,employee,internal_memo,2024-03-01 11:10:00,"Hiring too many people from different backgrounds is affecting our company culture negatively.",anger;disgust,overt,racist,moderate
98,employee,internal_chat,2024-03-01 11:15:00,"I don’t understand why we keep pushing for women in leadership. They lack the assertiveness and rational thinking required for real decision-making.",anger;contempt,overt,sexist,moderate
99,employee,email,2024-03-01 11:20:00,"Bringing in people from certain backgrounds just disrupts the natural flow of our workplace.",anger;disgust,overt,racist,moderate
100,employee,meeting_notes,2024-03-01 11:25:00,"Women tend to have a different way of thinking. Maybe they’re just better suited for support roles than leadership.",neutral;assumption,subtle,sexist,low
